vehicle_id,exception_type,trip_id,location_id,schedule_date,exception_count,driver_name,
63,11,1201057,833027,20/03/2026 15:42,1,Ayesha Chandra,
242,10,1203626,839055,20/03/2026 17:49,1,Ahana  Mannan,
285,15,1210091,834990,21/03/2026 12:17,1,Shaan Tandon,
295,10,1206751,833257,21/03/2026 10:01,0,Madhav Srivastava,
297,10,1209615,833488,21/03/2026 11:57,1,Akarsh Date,
297,15,1209615,833488,21/03/2026 11:57,1,Romil Anne,
300,15,1207153,917785,21/03/2026 10:17,2,Raghav Tella,
301,15,1212931,833189,21/03/2026 14:43,1,Nirvi Kari,
303,15,1207973,833623,21/03/2026 10:50,1,Manjari Mani,
308,15,1208945,833211,21/03/2026 11:28,1,Mishti Samra,
308,15,1215943,833879,21/03/2026 17:20,1,Saanvi Sastry,
309,15,1193948,833349,20/03/2026 11:04,1,Renee Sachdev,
310,15,1209526,833319,21/03/2026 11:52,1,Anahita Lanka,
313,10,1206874,833189,21/03/2026 10:06,1,Veer Dutta,
315,15,1209022,833378,21/03/2026 11:31,1,Rati Jayaraman,
316,15,1215949,833414,21/03/2026 17:20,1,Taimur Varty,
320,10,1182085,923188,19/03/2026 11:29,1,Jiya Hayre,
322,10,1206165,833665,21/03/2026 09:35,1,Arnav Ranganathan,
322,15,1206165,833665,21/03/2026 09:35,1,Aarush Sarraf,
324,10,1190720,833251,20/03/2026 09:27,1,Khushi Aurora,
325,15,1208591,920334,21/03/2026 11:14,2,Saksham Choudhary,
338,15,1208488,833402,21/03/2026 11:10,1,Dhanush Bora,
338,15,1214873,833402,21/03/2026 16:19,0,Badal Basu,
341,10,1209653,833208,21/03/2026 11:59,1,Gokul Buch,
364,15,1212094,833312,21/03/2026 13:58,1,Krish Kale,
367,15,1207558,833204,21/03/2026 10:34,1,Priyansh Sankaran,
367,15,1212734,833204,21/03/2026 14:33,1,Jayan Bhat,
381,15,1207603,833445,21/03/2026 10:35,1,Kanav Shan,
381,10,1213325,833445,21/03/2026 15:02,1,Anahita Yogi,
414,10,1202006,833271,20/03/2026 16:18,1,Darshit Borah,
414,10,1213372,833271,21/03/2026 15:04,1,Mishti Joshi,
414,15,1213372,833271,21/03/2026 15:04,1,Anaya Chahal,
489,10,1209916,834235,21/03/2026 12:09,1,Priyansh Virk,
555,10,1128454,834183,14/03/2026 15:16,3,Shamik Bajwa,
638,10,1207221,834032,21/03/2026 10:20,1,Pranay Dhaliwal,
638,15,1207221,834032,21/03/2026 10:20,1,Shlok Kade,
638,10,1217215,834209,21/03/2026 21:31,1,Heer Hayre,
638,15,1217215,834209,21/03/2026 21:31,1,Raunak Ramakrishnan,
641,10,1201039,834210,20/03/2026 15:42,1,Bhamini Sastry,
641,15,1209180,924531,21/03/2026 11:37,1,Elakshi Shroff,
641,24,1209180,924531,21/03/2026 11:37,2,Fateh Dhingra,
642,15,1214053,833383,21/03/2026 15:37,1,Alisha Gill,
665,10,1189699,833975,20/03/2026 08:24,3,Dhanush Jain,
677,11,1200520,868497,20/03/2026 15:19,2,Vidur Aggarwal,
686,10,1189343,834382,20/03/2026 07:31,2,Charvi Gupta,
